URL,Product Name,ASIN,Variant
https://www.amazon.in/dp/B0CMD957XQ/,Pikkme Moto G54 5G / G64 5G Flip Cover Leather Finish | Wallet Stand and Shock Proof | Inside TPU with Card Pockets | Complete Protection Flip Case (Blue),B0CMD957XQ,Color: coffee (ASIN: B0CMD8GN16)
https://www.amazon.in/DD-SON-Compatible-Agni-Installation/dp/B0DHCKHY3X/,"DD SON Premium UV Tempered Glass Screen Protector Compatible for Lava Agni 3 5G (6.78 Inch, Pack of 1) with Edge to Edge Full Coverage UV and Easy Installation Kit : Amazon.in: Electronics",B0DHCKHY3X,No variants found
https://www.amazon.in/Canon-75-300-4-5-6-Telephoto-Cameras/dp/B00004THD0/,Canon EF 75-300 mm f/4-5.6 III Telephoto Zoom Lens for Canon SLR Cameras (Black) : Amazon.in: Electronics,B00004THD0,Size: 58mm (ASIN: B00004THD0)
https://www.amazon.in/Canon-75-300-4-5-6-Telephoto-Cameras/dp/B00004THD0/,Canon EF 75-300 mm f/4-5.6 III Telephoto Zoom Lens for Canon SLR Cameras (Black) : Amazon.in: Electronics,B00004THD0,Size: 75-300mm (ASIN: B00005K47Y)
https://www.amazon.in/dp/B0BCR4STVP/,Fujifilm Fujinon XF 56MM F1.2 R Weather Resistant LM Prime Lens for Portrait | Wedding | Fashion (Full Frame Equivalent = 85MM) with 2+1* Year Warranty,B0BCR4STVP,No variants found
https://www.amazon.in/ZEBRONICS-Keyboard-Design-Smartphone-Retractable/dp/B0CNRW872W/,"Amazon.in: Buy ZEBRONICS K36 Wired USB Keyboard with 106 Keys, Slim Design, Smartphone Holder, Retractable Stand, 1.2m Cable Length with Â‚Rupee Key Online at Low Prices in India | ZEBRONICS Reviews &amp; Ratings",B0CNRW872W,No variants found
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Flodable Keyboard, Color: Black-Multicolor (ASIN: B0DP31RFP7)"
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Flodable Keyboard, Color: Grey (ASIN: B0D3X1D2XY)"
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Flodable Keyboard, Color: Silver (ASIN: B0D3WR66NH)"
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Flodable Keyboard, Color: White-Multicolor (ASIN: B0DP34KYDW)"
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Fullsize Keyboard + Mouse, Color: Black-Multicolor (ASIN: B0DP31RFP7)"
https://www.amazon.in/dp/B0D3X1D2XY/,"Amazon.in: Buy BITECHKART Foldable Bluetooth Keyboard, Pocket Size Portable Mini BT Wireless Keyboard with Touchpad for Android, Windows, PC, Tablet, with Rechargeable Li-ion Battery_20 x 10 x 3 cm Grey Online at Low Prices in India | BITECHKART Reviews &amp; Ratings",B0D3X1D2XY,"Size: Fullsize Keyboard + Mouse, Color: Grey (ASIN: B0D3X1D2XY)"
